Id,Título,Oración,Objeto,Dónde se compró,Medidas,Datos adicionales,Voz,Otras versiones
1,Legítimo polvo Sándalo,,Polvo blanco,"Mercado de Catemaco, Veracruz (2008)",9 x 6 cm,Instrucciones: “Acostumbre usar diariamente esta polvo para tener surte dihca [sic] y fortuna”.,,
2,MARAVILLOSO POLVO DEL CONGO ,,Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,"“RETIRA SALACIONES EN EL NEGOCIO, TRABAJO Y HOGAR, MAL AIRE EN LA PERSONA, USELO DESPUES DEL BAÑO EN LAS MANOS Y PIES; EN EL NEGOCIO RIEGELO EN LAS 4 ESQUINAS”",,
3,LEGÍTIMO POLVO DOBLEGADO A MIS PIES [ver #51],,Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,"“Este polvo tiene propiedades ocultas, la mujer que lo use diariamente hará que si hombre lo tenga siempre doblegado a sus pies”","mujer, para la ",
4,POLVO DE OLICORNIO VFNCEDOR [sic],,Polvo gris claro,Mercado de Catemaco (2008),9 x 6 cm,“Legítimo Polvo VENCEDOR  úselo polveándose”,,
5,Polvo especial SIEMPRE CONMIGO,,Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,USELO POLVEANDOSE TODO EL CUERPO,,
6,"LEGITIMO POLVO VEN AMI [sic]
Ver 12 y 71",,Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,Uselo polveándose el cuello y pecho,,
7,"LEGITIMO POLVO DEL ANTIGUO Y MILAGROSO ESPÍRITU DOMINADOR
CITRUM NUEVE
(Ver. 106)","Espíritu Dominador que dominas en las planos terrenales y espirituales te llamo tres veces para que vengas y te manifiestes en este Cirio de Amor y Cariño y que por medio de Él me concedas el amor y cariño de ..........
Ven pronto y rápido que dominado te tengo por el poder y mediación del Espíritu Dominador.
Espíritu de Juan Minero, tráelo.
Espíritu del Caballo Prieto, ciégalo de amor por mi.
Espíritu de Juan perdido, búscalo y tráelo a las puertas de mi casa.
Espíritu de Rosita Álvarez enamóralo y nunca lo dejes hasta que rendido y humillado venga a las puertas de mi casa",Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,"“Nota: Se hace 9 noches usando dos velas rojas untadas con polvo del Espíritu dominador.
CITRUM NUEVE”",mujer,personalizable
8,"LEGITIMO POLVO DE SAN ALEJO
[Ver # 52]","ORACION A SAN ALEJO
San Alejo, San Alejo
tras veces te he de llamar
cuantas veces se me ofrezca
librame de todo mal.
Estas tres cruces que hago,
que hago en señal del buen cristiano
del criminal o villano
para que castigues la mano
que quiera hacerme mal,
así también quebrarás la lengua
del que hable mal de mi.
Te ruego glorioso San Alejo
no abandones los alrededor [sic] de mi casa
ni lo que esté al pie de mi obligación
San Alejo de León, mis
enemigos del mundo
del mar y del monte sean,
las personas 
que quieran traicionarme
por mi corazón le caigan las alas
del corazón
y venga rendido a mi como
Jesús en la Cruz. Amen, Jesús,
San Alejo, San Alejo
A nuestros malos vecinos
retiralos lejos, lejos",Polvo blanco,Mercado de Catemaco (2008),9 x 6 cm,“Uselo polveándose”,,
9,LEGITIMO PLVO DEL OVIDO [sic],,Polvo,Mercado de Catemaco (2008),9 x 6 cm,“Usela polveándose el cuerpo después del Baño preferentemente por la noche al acostarse.”,,
10,ORACIÓN AL ÁNIMA DE LA BASURA,"Ánima de la basura (para recuperar extravío valioso)
¡Oh, Ánima de la basura! Tú que campeas por miserias y escombros que yacen en tu seno. Tú que albergas tanto desechos como tesoros en rincones remotos, regrésame cuanto antes lo que he perdido ...... (menciónelo).
Encomiendo a ti mi esperanza de recuperar porque sé que puedes distinguir entre desperdicios y objetos valiosos. Prometo prenderte una veladora constante que ilumine tu sendero.","Estampa
Cartón plastificado",Mercado Independencia de Morelia (2015),9 x 6 cm,“Se prende con fe una veladora y se deja hasta que se haya recuperado lo extraviado”.,,
11,ORACION A LA MANO PODEROSA,"ORACIÓN A LA MANO PODEROSA
Mano poderosa aquí vengo con la fe de mi alma cristiana a buscar consuelo en situación tan difícil para mi. 
No me desampares y las puertas que quieras abrir en mi camino sea tu mano Poderosa la que las abra o las cierre para resolver mi tranquilidad que tanto ansío.
Aquí ente tu imagen a tus plantas dejo la necesidad de mi súplica; la que hace un corazón afligido por el destino que se siente vencido ya a toda lucha y no puede combatir si tu Mano Poderosa no la detiene, sucumbirá por falta de fuerza de la razón humana. 
Mano Poderosa, asísteme, amárame y condúceme a la Patria Celestial. Amén.",Cartón verde,Mercado Independencia de Morelia (2015),12.5 x 9 cm,"“Condiciones: Pedir tres cosas difíciles. Rezar esta milagrosísima Oración quince días.
Se reza 15 días empezando en viernes. 
(Se ruega se propague esta oración como remedio eficaz en las penas).",,
12,"SECRETO Y ORACION “VEN A MI”
[VER  # 71]","Cariño y Amor, esmeralda de Amor,
ardiente  pasión yo siento por ti y tú por mi.
Tu pensamiento yo lo domino, tu mente sujeta está por el influjo de estas hierbas de Venus y Cupido.
Te llamo, te necesito y tú a mi.
Fulano o Fulana de tal ven a mi. Jacinto, lila y malva uncluyan [sic] en su mente y corazón.
Sabia de mirto circula por su sangre. 
Yo te llamo Fulano o Fulana de tal.",Cartón amarillo claro,Mercado Independencia de Morelia (2015),12.5 x 9 cm,"“Nota: En una noche tranquila encienda una vela roja y una verde. Mirando las llamas, llame a la persona. Las velas se untan por polvos Ven a Mi y Congo.
Hágalo 12 noches seguidas”.",hombre o mujer,
13,"San Monicato
Ver. 107","AL PODERSOS MONICATO
Con dos te miro, con tres te amarro Monicato para que me hagas aparecer mi prenda extraviada lo más pronto. En ti pongo toda mi fé y confianza Monicato y Luzbel, con este amuleto tiene que venir manso y desesperado y humillado a las plantas de mis pies fulano o fulana.
Monicato y Luzbel, espíritu dominador, tú que dominas los espíritus encarnados, quiero que me domines a fulano o fulana
(Se repite tres veces)",Cartón verde,Mercado Independencia de Morelia (2015),12.5 x 9 cm,,hombre o mujer,"Quezada, Araceli Campos, "
13a,"ORACIÓN AL PODEROSO MONICATO
Ver 107","ORACION AL PODEROSO MONICATO
CON DOS TE MIRO, CON TRES TE AMARRO MONICATO PARA QUE ME HAGAS APARECER MI PRENDA EXTRAVIADA LO MAS PRONTO. EN TI PONGO TODA MI FE Y CONFIANZA MONICATO Y LUZBEL, CON ESTE AMULETO TIENE QUE VENIR MANSO Y DESESPERADO Y HUMILLADO A LAS PLANTAS DE MIS PIES FULANO O FULANA.
MONICATO Y LUZBEL, ESPÍRITU DOMINADOR, TÚ QUE DOMINAS LOS ESPIRITUS ENCARNADOS, QUIERO QUE ME DOMINES A FULANO O FULANA
(SE REPITE TRES VECES)",Cartón verde,Mercado de Catemaco (2015),12.5 x 7.5,,,
14,ORACIÓN DE LA “GALLINA NEGRA”,"ORACIÓN DE LA “GALLINA NEGRA”
Pluma Negra de los “Cuatro Vientos” Pluma de los “cuatro Poderes”, por el gran poder que tú tienes, quiero que me molestes a .....
Si está durmiendo, me esté soñando si despierto está, me este mirando y que siempre por mí suspirando.
Que sosiego no encuentre cuando no me vea y ganas de llorar sienta y venga a mí obediente y manso como un cordero a suplicarme que lo perdone.
Adión pluma de los “Cuatro Poderes” que has venido a mí a ayudarme. ",Cartón rojo,Mercado Independencia de Morelia (2015),12.5 x 9 cm,"“Para hacer esta Oración, debe tenerse una “GALLINA NEGRA” que nunca halla [sic] sido pisada.
Harás esto los días martes a las 12 de la noche: Al arrancarle una pluma a la Gallina Negra le dirán lo siguiente:”",,
15,ORACION DEL PURO,"ORACION DEL PURO.
Puro, purito, yo te conjuro en el nombre de la muerte; la señal que te pido me la has de dar, la ceniza tiene que caer, si está ansioso por hablarme; su boca ha de abrir y con esta oración tiene que venir manso, desesperado y humillado a las plantas de mi pies. 
Alma de los 4 vientos, tú que andas por el mundo entero quiero que me traigas a fulano..... por los siete espíritu [sic] y las siete ánimas, has [sic] que cambie sus amores y vuelva a mí. Con el gran poder de la muerte, tú que transitas por el mundo en calles, montes y colonias, si encuentras el alma de fulano...... no me lo dejes pasar, hasta que venga rendido a mis pies, si está sentado, no lo dejes en calma; ponte, en su mente mi pensamiento, si está durmiendo que me sueñe, no podrá dormir tranquilo, pues un niño él ha de oir llorar.",Cartón café claro,Mercado Independencia de Morelia (2015),12.5 x 9 cm,,,
16,ORACION DEL DINERO,"ORACION DEL DINERO
Dinero ven, ven, ven.
Lo necesario es tener gran fe..
para que el dinero me rinda y no se me vaya, porque así lo quiero y así será. 
San Judas yo te saludos yo te venero same muchas suerte, amor, salud y mucho dinero.
Dinero ven, ven, ven.
Siempre me acompañaras como buen amigo que eres.
Dinero ven, ven, ven.
Necesito que no te alejes demasiado Llegarás por todos los medios y serás mi gran amigo toda la vida.
Dinero ven, ven, ven. ",Cartón café claro,Mercado Independencia de Morelia,12.5 x 9 cm,,,
